unix_ts,type,longitude,latitude,message
1582070347,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:47 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070347,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582070467,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582070467,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:47 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070467,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582070587,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582070587,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:47 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070587,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582070707,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582070707,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:51 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070707,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582070827,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582070827,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:51 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070827,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582070947,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582070947,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582070947,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582070947,Vehicle breakdown,103.9069873,1.367183441,(19/2)7:51 Vehicle breakdown on KPE (towards ECP) after Tampines Rd Exit.
1582070947,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582071067,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071067,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071067,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071067,Vehicle breakdown,103.9485931,1.343006094,(19/2)7:46 Vehicle breakdown on PIE (towards Changi Airport) after Simei Ave.
1582071187,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071187,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071187,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071307,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071307,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071307,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071427,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071427,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071427,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071547,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071547,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071547,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071667,Vehicle breakdown,103.8514657,1.273636754,(19/2)8:05 Vehicle breakdown on MCE (towards AYE) after Maxwell Rd Exit.
1582071667,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071667,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071787,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071787,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582071907,Accident,103.7523852,1.389086351,(19/2)8:22 Accident on KJE (towards PIE) after Woodlands Rd Exit.
1582071907,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582071907,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582072027,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072027,Accident,103.7523852,1.389086351,(19/2)8:22 Accident on KJE (towards PIE) after Woodlands Rd Exit.
1582072027,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582072027,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582072147,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
